Profile ID,Advocacy,Advocacy Description,Product/Service,Product/Service Description,Organizational Optimization,Organizational Optimization Description,Research,Research Description,Other,Use - Other Description,Processed
X204jopN0k,FALSE,,TRUE,uses open data to provide a one stop business analytics platform for municipalities and schools,FALSE,,FALSE,,FALSE,,0
X4LtHCdZyT,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,0
x8a3iz7thS,FALSE,,TRUE,Uses open data to provide relevant information on enterpreneurship to its members.,FALSE,,FALSE,,FALSE,,0
x8XrLcXivC,FALSE,,TRUE,uses open data to provide data sharing components with the core solution of OpenDataSoft platform. Additional components such as ETL can be added on the cloud. ,FALSE,,FALSE,,FALSE,,0
xecxyONbI0,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
xiyZ62fB8d,TRUE,"to improve the ability of Mexican government to attract and maintain talents, as well as make better investment decisions.",TRUE,uses open data to provide consulting services for public policy making work. ,FALSE,,FALSE,,FALSE,,0
xlETNMURSq,FALSE,,TRUE,"uses open data to develop Doordaâ€™s unique and innovative reference dataset that enables the citizens and businesses to navigate, connect and make sense of local and national open data",FALSE,,FALSE,,FALSE,,0
xp1XFMdxXd,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
XqJzCe5uw4,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,0
xW9YZQrnwe,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
XyFnEctB7K,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
Y9DTT0M1kc,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,0
yAiVzePr11,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
Yf39waQ5G0,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
yG0WapbeNq,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
yjMfkmYIe8,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
yJZO4zVTRi,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
yLmauiddYP,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,0
yN0tryGa3C,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,0
YqlKQX2Nyf,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
YU7gvJ25CD,FALSE,,FALSE,,FALSE,,TRUE,Uses data from the Archive and the Museum of the Memorial for visualization of archive data about terror in USSR.,FALSE,,0
YXNK5CayYx,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
z2P0oAXz65,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,0
z3vFkz9igi,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,0
Z9Sw0HYepB,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
zdXPOKVbVr,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
zGZmAQQDpW,FALSE,,TRUE,has an open source business intelligence option for users who want to use open information systems for the companies ,FALSE,,TRUE,,FALSE,,0
ZiKKS1exPo,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,0
ZkzYU27r5L,FALSE,,TRUE,App for searching medical drugs (uses healthcare data).,FALSE,,FALSE,,FALSE,,0
ZngIeBHJuc,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
zODcJmikoD,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,0
ZPUViPEx49,TRUE,Publishes federal data aimed at improving civic engagements -  research and development -  development of innovative solutions focused on local issues -  development of a sustainable and smart environment.,FALSE,,FALSE,,FALSE,,FALSE,,0
zSwwUnIV5U,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,0
zttKoUbcjl,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
